Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2020-03-25 00:00:00+05:30,215.82941992749858,259.4347696218179,213.48557698402456,248.643310546875,1744129,0.0,0.0,924889.5033112073,1744129,0.530287325829229,0.0,0.0,0.0,0.0,240.52121905090584,50.0,1000.0,248.643310546875,248.643310546875,248.643310546875,0.0,0.0,0.0,0.0,240.52121905090584,286.4704116886992,194.57202641311247,38.208015757701865,0.5883812209715381,0.0,0.0,213.48557698402456,259.4347696218179,236.46017330292125,18.479963340550384,0.7651436629146146,0.0,0.0,0.0,0.0,0.0,248.643310546875,248.643310546875,248.643310546875,248.643310546875,0.0,0.0,0.0,-75.48278532477927,1.0,794.5988462754465,-761.6628997200096,-761.6628997200096,0.0,236.46017330292125,236.46017330292125,236.46017330292125,236.46017330292125,0.0,0.0,0.0,0.0,0.0,1033.6626642346123,1015.9743116140565,0.0,0.0,0.0,262.7064227291987,259.4347696218179,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,76.51436629146146,76.51436629146146,-23.485633708538547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.643310546875,0.0,0.0,0.0
2020-03-26 00:00:00+05:30,247.17839705087087,285.9007269523623,247.17839705087087,263.7318115234375,2078565,0.0,0.0,623456.6149740049,3822694,0.16309351859552582,31362430.032348633,56035.967719367596,56035.967719367596,126134.21999316583,254.1596251220654,100.0,1000.0,256.18756103515625,271.27606201171875,241.09906005859375,11.779261190977126,0.75,0.0,0.0,253.06243211323135,295.3981933828737,210.72667084358898,33.458748433034486,0.6260090652705095,0.0,0.0,213.48557698402456,285.9007269523623,249.69315196819343,28.266458244785852,0.6938635708326537,0.0,0.0,1.2036411035434469,0.24072822070868938,0.9629128828347575,256.18756103515625,256.18756103515625,250.96461838942307,249.76097728587962,0.08338158722822017,0.014112458498985613,0.06926912872923456,0.01185221046366856,1.9746759735803092,787.0545957871652,-754.4313567470333,-758.0471282335214,3.6157714864881427,249.69315196819343,249.69315196819343,249.69315196819343,249.69315196819343,0.0,0.0,0.0,0.0,66.66666666666674,1033.6626642346123,1015.9743116140565,4.0,0.0,4.0,262.7064227291987,259.4347696218179,0.0,0.0,100.0,0.0,0.0,0.0,100.0,19.550155679421493,69.38635708326537,72.95036168736341,-30.613642916734623,0.0,0.0,0.48191719804400984,0.09638343960880197,0.3855337584352079,1.508204225675646,0.30164084513512923,1.206563380540517,254.06579042475528,6.068331757398293,5.891333965410439,6.068331757398293
2020-03-27 00:00:00+05:30,277.8437816596916,290.10014745294785,262.7064227291987,275.79290771484375,1560236,0.0,0.0,553927.3512040995,5382930,0.10290443145352057,29570390.953055248,17318.156680391014,36677.06219987931,197487.60117457324,260.54795170320466,100.0,1045.7324284155777,262.72267659505206,284.93612126705256,240.50923192305157,16.91018450321227,0.7941964047626164,0.0,0.0,260.7748967307087,298.12997915171997,223.41981430969744,28.64929323284234,0.7010169702595517,0.0,0.0,213.48557698402456,290.10014745294785,251.79286221848622,29.161765349632628,0.8132569346726618,0.0,0.0,3.0950867799527373,0.8115999325574991,2.2834868473952383,262.72267659505206,262.72267659505206,254.78435520871858,251.68926842876584,0.12874251978851908,0.039571112488929874,0.08917140729958921,0.04058138796713264,2.892818820264011,780.5194802272695,-748.1671202827001,-754.7537922499145,6.586671967214329,251.79286221848622,251.79286221848622,251.79286221848622,251.79286221848622,0.0,0.0,0.0,0.0,76.15865858444356,1033.6626642346123,1015.9743116140565,8.0,0.0,8.0,262.7064227291987,259.4347696218179,0.0,1.0,100.0,0.0,0.0,0.0,100.0,26.448787810767406,81.32569346726618,75.742138947331,-18.674306532733823,0.0,0.0,1.2297253670268116,0.3230518250924039,0.9066735419344076,0.3381070990371633,0.30893409591553606,0.02917300312162724,261.402381303647,4.573242841557779,4.471752834514309,10.919094146653263
2020-03-30 00:00:00+05:30,263.6830057163825,285.1682876636433,257.82338336712957,278.91802978515625,1217086,0.0,0.0,1214631.7103829146,6600016,0.18403466148914102,25889412.576914266,-11025.822249793686,20776.100716654975,211278.8996948422,263.0230465659705,74.67102140119258,1057.5820496359393,266.7715148925781,290.57897048659703,242.9640592985592,17.848573978076747,0.7550989719294,0.0,0.0,264.07364761602565,298.92618550591254,229.22110972613874,26.396074128959647,0.7129598455072331,0.0,0.0,213.48557698402456,290.10014745294785,251.79286221848622,28.719172097431,0.8540471140234698,0.0,0.0,4.791014506053841,1.6074828472567675,3.1835316587970737,266.7715148925781,266.7715148925781,258.49722822047823,253.7062137144244,0.14925925853827812,0.07336021905616286,0.07589903948211527,0.08172768985728299,3.7748313011368686,776.4706419297434,-744.28610543773,-752.1368705468683,7.850765109138251,251.79286221848622,251.79286221848622,251.79286221848622,251.79286221848622,0.0,0.0,0.0,0.0,56.02396162580398,1033.6626642346123,1015.9743116140565,8.0,0.0,8.0,262.7064227291987,259.4347696218179,1.0,0.0,100.0,0.0,0.0,0.0,100.0,36.39228944856831,85.40471140234698,78.70558731762618,-14.595288597653024,0.0,0.0,1.8884103924418187,0.6361235385622869,1.2522868538795318,-2.203986913819034,-0.193650106031378,-2.010336807787656,267.1690236517777,1.13314083969982,1.126768889155283,12.175963701454084
2020-03-31 00:00:00+05:30,286.1448858322069,294.0553818108098,278.33205618491115,289.17236328125,946049,0.0,0.0,1573072.8586110976,7546065,0.208462670095089,23576796.7730188,24427.86874743877,21689.042724350926,246060.09314124114,266.05242756989804,79.00417684147871,1096.4637205153829,271.2516845703125,299.08308192922345,243.42028721140153,20.520718537102134,0.821950753672807,0.0,0.0,268.6962381779519,299.72293361504114,237.66954274086265,23.094253680277365,0.8299759258090532,0.0,0.0,213.48557698402456,294.0553818108098,253.7704793974172,29.702969385946936,0.939393938708705,0.0,0.0,6.883143863729629,2.6626150505513397,4.220528813178289,271.2516845703125,271.2516845703125,263.2164797682893,256.33333590455965,0.18534794932197615,0.07941253297929929,0.10593541634267686,0.1372370424815478,4.588947588668202,771.990472252009,-739.9916378029282,-749.7078239980802,9.71618619515209,253.7704793974172,253.7704793974172,253.7704793974172,253.7704793974172,0.0,0.0,0.0,0.0,98.55971823260771,1033.6626642346123,1015.9743116140565,16.0,0.0,16.0,262.7064227291987,259.4347696218179,0.0,0.0,100.0,0.0,0.0,0.0,100.0,39.691531505460105,93.9393938708705,86.88993291349455,-6.060606129129496,0.0,0.0,2.685231649422463,1.0459451607343222,1.6392864886881406,-5.624983618819762,-1.2799168085890549,-4.345066810230707,274.2506722272894,3.676468496494256,3.61049844664576,16.300077667576886
2020-04-01 00:00:00+05:30,287.0238317761722,307.1418746793174,280.28527196490967,291.4185485839844,1658121,0.0,0.0,1289684.1698571038,9204186,0.14011930765600608,20740746.808352575,12179.915703177612,19787.21732011626,258939.77146905157,270.89772843820646,83.92178754619817,1096.4637205153829,274.6128285725911,304.1329010522741,245.09275609290813,21.499412560676976,0.7846490302989547,0.0,0.0,272.7382926609717,303.06997264428065,242.40661267766268,22.24233325462141,0.8079330906381074,0.0,0.0,213.48557698402456,307.1418746793174,260.313725831671,34.10485161312694,0.8321167237841466,0.0,0.0,8.623019038608504,3.8546958481627724,4.768323190445732,274.6128285725911,274.6128285725911,267.5552595860885,258.93224054748,0.21002393271121336,0.09146201477393424,0.11856191793727912,0.20132113645354766,5.40539109756319,768.6293282497304,-736.7698124766621,-747.5514887445106,10.781676267848525,260.313725831671,260.313725831671,260.313725831671,260.313725831671,0.0,0.0,0.0,0.0,102.7160787507201,1033.6626642346123,1015.9743116140565,20.0,0.0,20.0,257.82338336712957,259.4347696218179,0.0,0.0,100.0,0.0,0.0,0.0,100.0,39.951699362768515,83.21167237841465,87.51859255054404,-16.788327621585346,7.068170280448157,0.0,3.330222231258728,1.5028005748392035,1.8274216564195247,-4.753216138051482,-1.9745766744815405,-2.7786394635699416,280.87636669124794,0.7767634767191556,0.7737622010818512,17.203454194294633
2020-04-03 00:00:00+05:30,288.14689584583084,294.2995167408019,272.0817836389371,279.40631103515625,939216,0.0,0.0,969731.4665603989,8264970,0.09560219210087495,16166056.449779328,-24892.622953999627,12340.577274430281,220225.40082764826,271.91917451399695,74.41993128238285,1051.2676177329722,275.29761178152904,302.8330123376425,247.76221122541557,20.004096931988673,0.5746075809802408,0.0,0.0,274.05127996725645,303.22382468178773,244.8787352527252,21.28984379712935,0.59178203547722,0.0,0.0,213.48557698402456,307.1418746793174,260.313725831671,34.020018222902976,0.7038579964542506,0.0,0.0,8.929659909178497,4.8696886603659175,4.059971248812579,275.29761178152904,275.29761178152904,269.37849827056044,260.44883836138195,0.21948531457254217,0.12489066283563835,0.09459465173690382,0.2583847458696063,6.208167211196643,767.9445450407925,-736.1134133803836,-745.9174779782068,9.804064597823185,260.313725831671,260.313725831671,260.313725831671,260.313725831671,0.0,0.0,0.0,0.0,43.70477028254248,1033.6626642346123,1015.9743116140565,20.0,0.0,20.0,260.7824928458608,259.4347696218179,0.0,0.0,73.20217166610847,0.0,0.0,0.0,98.14094864697415,39.19177029098167,70.38579964542507,82.51228863157007,-29.614200354574933,8.771298563140476,0.0,3.4285658424739367,1.8879536283661502,1.5406122141077865,-7.725266186942164,-3.1247145769736653,-4.600551609968499,280.2990305001468,-4.121987981614805,-4.209351069625633,12.3723418983684
2020-04-07 00:00:00+05:30,291.125566894598,302.64947855256844,283.4592219425001,296.49688720703125,1126711,0.0,0.0,1373972.466457897,9391681,0.12191292726682486,16607496.981123634,16799.954489778906,12977.631162337228,289143.4581823605,274.14684958161166,77.59549921091607,1051.2676177329722,277.9475212097168,307.27396077685773,248.62108164257586,21.10214146865053,0.8162566999455715,0.0,0.0,276.57010279227023,304.4948614937436,248.6453440907968,20.193620654975476,0.8567942095361714,0.0,0.0,213.48557698402456,307.1418746793174,260.313725831671,33.69567653910731,0.8863398646515024,0.0,0.0,10.431493905140144,5.982049709320763,4.449444195819381,277.9475212097168,277.9475212097168,273.55055810694057,263.1190642018004,0.2446679600688019,0.13273973529231542,0.11192822477648648,0.3209395015709939,6.991993953346997,765.2946356126047,-733.5733421123097,-744.3744609949696,10.801118882659921,260.313725831671,260.313725831671,260.313725831671,260.313725831671,0.0,0.0,0.0,0.0,94.06272699698003,1033.6626642346123,1015.9743116140565,20.0,0.0,20.0,263.5640557558682,259.4347696218179,0.0,0.0,81.0025082250142,0.0,0.0,0.0,96.65224262225041,48.87796854978803,88.63398646515024,80.74381949632999,-11.366013534849765,9.648232071005964,0.0,3.9645526776196114,2.3032734382168423,1.6612792394027691,-9.110449997067379,-4.3218616609924085,-4.78858833607497,287.134747297006,6.116746650624005,5.936968554260069,19.24587335766459
2020-04-08 00:00:00+05:30,291.02792980140697,326.136848019352,288.48875398336276,313.9781188964844,1524093,0.0,0.0,1913631.3579293669,10915774,0.149570153703119,18041143.5337165,35221.177105823175,15758.07440527297,379002.82601670123,278.36236577017024,80.9595305516446,1051.2676177329722,281.950920952691,317.69096509565713,246.21087680972482,25.351961271985374,0.9480576159290577,0.0,0.0,280.23282177458094,309.2379510687783,251.22769248038352,20.700736702090573,1.0817125788274695,1.0,0.0,213.48557698402456,326.136848019352,269.81121250168826,39.95421283061862,0.8920675371780347,0.0,0.0,12.883781257201633,7.362396018896938,5.5213852383046955,281.950920952691,281.950920952691,279.77018284379346,266.88640158659183,0.27657389727942133,0.14147581125972913,0.1350980860196922,0.3971270620298227,7.857009631772798,761.2912358696306,-729.7358824038481,-742.7479522626228,13.01206985877468,269.81121250168826,269.81121250168826,269.81121250168826,269.81121250168826,0.0,0.0,0.0,0.0,135.99899152166134,1033.6626642346123,1015.9743116140565,32.0,0.0,32.0,266.1787248912751,259.4347696218179,0.0,0.0,85.61490357834055,0.0,0.0,0.0,95.49913159776786,53.411916485785916,89.20675371780348,82.74217994279293,-10.79324628219653,13.319246566221182,0.0,4.827440132059881,2.80810677698545,2.0193333550744312,-7.951054729237344,-5.047700274641396,-2.9033544545959487,298.21646645378286,5.895924187982016,5.728657851300323,26.276519648129536
2020-04-09 00:00:00+05:30,317.640349906474,333.65664444834437,310.8041240821994,317.9333190917969,1039386,0.0,0.0,1522750.2375244475,11955160,0.11007627212978725,16051120.130357726,32798.630667747086,17651.46954554787,392096.0304879351,281.55076647458725,82.78631206597602,1064.510495617574,285.5491607666016,325.74517488628584,245.35314664691728,28.153480830951676,0.9028279797689761,0.0,0.0,284.2893425178675,312.6792109192596,255.89947411647535,19.972516837916878,1.0925349159469795,1.0,0.0,213.48557698402456,333.65664444834437,273.5711107161845,42.08419563962356,0.8691588109491003,28.795159492126523,0.0,14.973779839129975,8.884672782943547,6.089107056186428,285.5491607666016,285.5491607666016,285.6414345742555,270.66765473512555,0.31282036732789525,0.15276533183371957,0.16005503549417568,0.48092254567370385,8.710734761233544,757.69299605572,-726.2867888349392,-738.8172732753927,12.530484440453506,290.4175207496076,273.5711107161845,281.99431573289604,273.5711107161845,0.0,0.0,0.0,0.0,146.22849661468493,1033.6626642346123,1015.9743116140565,36.0,0.0,36.0,270.97537474152125,259.4347696218179,0.0,0.0,86.41836222591613,0.0,0.0,0.0,94.58296846956044,51.831675659737755,86.91588109491003,88.25220709262125,-13.084118905089971,16.240918411728842,0.0,5.532164474467134,3.352918316481787,2.179246157985347,-9.647596728676866,-5.96767956544849,-3.6799171632283763,305.61802513689946,1.259705679240808,1.2518373964821805,27.867232137684674
